lang,ASR,n,speakers,WER corpus,95% CI,WER macro (v1),CER corpus,exact,catastrophic,missing,empty ref
en-US,elevenlabs,1500,1012,0.0515,"[0.0462, 0.0569]",0.0554,0.0202,70.4%,1.0%,0,0
en-US,whisper,1500,1012,0.0774,"[0.0703, 0.0842]",0.0807,0.0296,59.7%,1.4%,0,0
en-US,mms,1500,1012,0.1784,"[0.1682, 0.1882]",0.1845,0.0605,30.6%,6.0%,0,0
es-ES,elevenlabs,1499,574,0.0269,"[0.0229, 0.0316]",0.0302,0.0087,82.7%,0.6%,1,0
es-ES,whisper,1499,574,0.0452,"[0.0397, 0.0512]",0.0484,0.0154,73.0%,0.9%,1,0
es-ES,mms,1499,574,0.1248,"[0.1156, 0.1346]",0.1307,0.0369,47.3%,3.7%,1,0
es-MX,elevenlabs,1500,639,0.0351,"[0.0299, 0.0405]",0.0379,0.0138,79.5%,1.0%,0,0
es-MX,whisper,1500,639,0.0613,"[0.0541, 0.0691]",0.0648,0.0214,68.3%,1.3%,0,0
es-MX,mms,1500,639,0.1482,"[0.1358, 0.1610]",0.1557,0.0471,40.9%,5.1%,0,0
nl-NL,elevenlabs,1500,236,0.0159,"[0.0129, 0.0194]",0.0168,0.0048,88.6%,0.0%,0,0
nl-NL,whisper,1500,236,0.0385,"[0.0331, 0.0453]",0.0408,0.0108,76.0%,0.5%,0,0
nl-NL,mms,1500,236,0.078,"[0.0682, 0.0896]",0.0842,0.0239,58.1%,1.3%,0,0
pt-BR,elevenlabs,1500,229,0.0531,"[0.0441, 0.0631]",0.0628,0.0169,78.0%,2.3%,0,0
pt-BR,whisper,1500,229,0.0737,"[0.0608, 0.0884]",0.0817,0.0234,71.5%,3.5%,0,0
pt-BR,mms,1500,229,0.2242,"[0.1984, 0.2529]",0.2314,0.0618,36.1%,12.9%,0,0
ky,elevenlabs,694,89,0.1829,"[0.1486, 0.2268]",0.1924,0.0647,47.7%,10.4%,6,0
ky,mms,694,89,0.2425,"[0.2086, 0.2830]",0.2504,0.058,25.6%,10.7%,6,0
ky,gigaam,694,89,0.0998,"[0.0773, 0.1311]",0.1104,0.0293,66.4%,5.5%,6,0
