lang,audio,n,DNSMOS OVRL,OVRL p05,clipping %,narrowband %,low speech %,would fail prompt QC %
en-US,prompt,1500,2.761,1.971,0.0,0.27,0.27,0.53
en-US,gt,1500,2.766,1.968,0.0,1.47,0.93,2.4
en-US,sim_ref,909,2.752,2.028,0.0,0.22,0.0,0.22
es-ES,prompt,1500,2.766,2.011,0.0,1.33,0.2,1.53
es-ES,gt,1499,2.8,2.041,0.0,2.33,0.4,2.74
es-ES,sim_ref,1222,2.759,1.991,0.0,1.64,0.16,1.8
es-MX,prompt,1500,2.68,1.887,0.0,0.53,0.0,0.53
es-MX,gt,1500,2.662,1.834,0.0,2.73,1.8,4.27
es-MX,sim_ref,1201,2.672,1.861,0.0,1.25,0.0,1.25
nl-NL,prompt,1500,2.808,2.152,0.0,0.47,0.0,0.47
nl-NL,gt,1500,2.871,2.218,0.0,1.13,0.13,1.27
nl-NL,sim_ref,1319,2.804,2.082,0.0,1.59,0.0,1.59
pt-BR,prompt,1500,2.726,2.004,0.0,0.4,0.0,0.4
pt-BR,gt,1500,2.783,2.005,0.0,2.47,1.07,3.53
pt-BR,sim_ref,983,2.697,2.049,0.0,0.61,0.61,1.22
ky,prompt,700,2.718,1.859,0.0,1.71,0.0,1.71
ky,gt,694,2.749,1.924,0.0,1.87,0.58,2.31
ky,sim_ref,599,2.671,1.812,0.0,0.67,0.0,0.67
